,cum_rewards_model,cum_rewards_error,cum_rewards_real,policy_loss_list_error,policy_loss_list_model,critic_loss_list_error,critic_loss_list_model,last_states_model,last_states_error,last_states_real,last_errors,model
0,-93.30835141879491,-34.50640656523154,-58.81488880904162,0,0,0,0,2.142976774475822,-0.42707925663696966,1.7158975178388525,-0.8896982581539088,training_run_1
1,-205.2325491343877,-32.27846456640621,-172.9540845679815,0,0,0,0,2.198164003702458,-0.4365816269718623,1.7615823767305958,-1.7877863511489722,training_run_1
2,-76.82712761184119,-16.3798367452433,-84.35106054902911,0.32851276,1.4721222,0.027636087,0.16510814,-0.15789127558993088,1.2340859435979494,1.0761946680080186,0.5399774202743309,training_run_1
3,-18.657895465507174,-17.27268830604335,-32.86124386687048,0.41803917,1.6999928,0.011967405,0.06489898,-0.10735372525303134,1.409090285192832,1.3017365599398005,0.5640578827341283,training_run_1
4,-65.89366225802266,-13.865268810932518,-52.028393447090124,0.5009334,2.0673466,0.006080066,0.35341415,-0.17964776973830163,1.3426329135082473,1.1629851437699457,3.745778820039816,training_run_1
5,-71.54088018518624,-10.87765291787846,-60.66322726730776,0.52848315,2.4817736,0.0020211656,0.15152901,-0.18488049817319085,1.0919719204850138,0.9070914223118229,3.987008246920022,training_run_1
6,-57.32835420038495,-10.059248560931762,-47.2691056394532,0.54350215,2.7654731,0.004189652,0.055650398,-0.17323308131256843,0.887420144068048,0.7141870627554796,3.215376846018982,training_run_1
7,-14.853452465196344,-6.026083533752549,-18.34756845931414,0.56051666,2.9288857,0.007290106,0.03873822,-0.7657135266553301,1.2322113710105975,0.4664978443552675,0.9762179538627965,training_run_1
8,-138.31868902252563,-57.87716581097949,-86.22978828983787,0.9721587,3.6911287,0.0021066873,0.052784335,5.000670608392687,-3.392255981389958,1.6084146270027289,-4.730215119754616,training_run_1
9,-25.089140763287652,-28.716999519056547,-51.90337232929263,1.1019052,3.950935,0.02313797,0.03935685,4.2621949374875046,-2.1838254427504915,2.078369494737013,-0.5934523213429532,training_run_1
10,-46.957367132607324,-36.71643843891787,-83.03076638544795,1.2053332,4.678438,0.04929603,0.23264357,4.1759333489783,-1.9685798541630324,2.2073534948152678,-0.302605876125456,training_run_1
11,-30.305108044895242,-20.532963795738112,-39.1945646831793,1.1402669,4.7992268,0.034150045,0.3073061,9.457910733315757,-6.4816158175745056,2.976294915741251,-5.640361124959952,training_run_1
12,-18.10428031187196,-8.573536387694649,-11.158132386666853,1.3589534,5.0502424,0.043949418,0.47134766,4.028480488554639,-0.6984554917187027,3.330024996835936,-1.606476461664046,training_run_1
